# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
    0.65711420   -0.34592707    0.16044009    0.00000089    0.89083584    0.42566833   -0.56368660    0.38204274
   -0.62634360    0.39104233   -0.15813267    0.00070626    0.89305382   -0.38172581    0.56130072   -0.42008988
    0.65711725   -0.34592626    0.16043930    0.00000022    0.89083566    0.42567058   -0.56368893    0.38204163
   -0.63537338    0.35850121   -0.15986983    0.00000135    0.90347936   -0.40354755    0.55307427   -0.39268384
   -0.64855930    0.34856774   -0.15974362    0.00036088    0.89511754   -0.41772736    0.55874726   -0.38398506
    0.65707955   -0.34593410    0.16043813    0.00000891    0.89084205    0.42563819   -0.56366456    0.38204786
    0.01610446    0.73212191    0.15794027    0.00052059    0.89872804    0.41040046    0.38615349   -0.55633162
    0.01593291    0.73203404    0.15790579    0.00054314    0.89882972    0.41021564    0.38622696   -0.55627272
    0.01943772    0.73387712    0.15810127    0.00015898    0.89690115    0.41375424    0.38448870   -0.55777574
    0.01477750    0.73148607    0.15756270    0.00072887    0.89952043    0.40893374    0.38668465   -0.55597034
    0.01318401    0.73095172    0.15796938    0.00083594    0.90005505    0.40770809    0.38785817   -0.55529966
    0.01423531    0.73126484    0.15776859    0.00079172    0.89968252    0.40853381    0.38710105   -0.55567364
    0.65749701   -0.34584216    0.16041223    0.00008251    0.89070508    0.42597930   -0.56395200    0.38195481
    0.01606773    0.73210728    0.15798240    0.00053552    0.89872217    0.41038781    0.38619615   -0.55629754
    0.01712202    0.73260820    0.15794482    0.00040176    0.89821399    0.41138014    0.38560114   -0.55675202
    0.02044116    0.73445411    0.15801478    0.00000081    0.89642121    0.41471656    0.38394023   -0.55832114
    0.01451897    0.73142477    0.15802799    0.00078416    0.89941112    0.40894837    0.38708853   -0.55568115
    0.01735729    0.73276741    0.15815415    0.00041710    0.89796643    0.41173259    0.38559935   -0.55678430
    0.02044494    0.73445648    0.15801509    0.00000046    0.89641895    0.41472060    0.38393857   -0.55832304
    0.01917056    0.73368523    0.15799014    0.00018717    0.89710816    0.41341338    0.38455007   -0.55766527
    0.01514399    0.73162701    0.15766863    0.00069040    0.89930809    0.40932460    0.38652371   -0.55603914
    0.66219470    0.34516700   -0.15957955    0.00078624    0.88997679    0.56761714   -0.42938701   -0.38094575
    0.65712892   -0.34592378    0.16043752    0.00000180    0.89083250    0.42567954   -0.56369755    0.38203858
    0.01171157    0.73039120    0.15778678    0.00099619    0.90075295    0.40626344    0.38863043   -0.55490499
    0.01854189    0.73333050    0.15798333    0.00027494    0.89744240    0.41278249    0.38486571   -0.55736037
    0.65709672   -0.34593073    0.16044114    0.00000303    0.89083904    0.42565412   -0.56367449    0.38204645
    0.02044297    0.73445495    0.15801435    0.00000105    0.89642028    0.41471807    0.38393901   -0.55832208
    0.02044585    0.73445710    0.15801527    0.00000061    0.89641823    0.41472164    0.38393825   -0.55832349
    0.01762792    0.73280116    0.15775591    0.00042040    0.89801881    0.41174908    0.38520838   -0.55701553
    0.02044692    0.73445754    0.15801390    0.00000178    0.89641766    0.41472194    0.38393695   -0.55832457
    0.65717092   -0.34591928    0.16047081    0.00004002    0.89078831    0.42573000   -0.56371033    0.38205154
    0.01410825    0.73125369    0.15797942    0.00081462    0.89962895    0.40854019    0.38729874   -0.55555706
    0.65844450   -0.34567354    0.16038601    0.00019661    0.89043761    0.42675256   -0.56460528    0.38179494
    0.01668696    0.73239435    0.15799225    0.00047132    0.89840671    0.41098373    0.38585975   -0.55654208
   -0.65589191    0.34605770   -0.15958940    0.00054172    0.89151221   -0.42426012    0.56325452   -0.38172500
    0.65419338    0.34650726   -0.15959905    0.00096535    0.89201458    0.56216635   -0.42279096   -0.38212067
   -0.66253744   -0.34524620    0.16010597    0.00096792    0.88977108   -0.56764269    0.42987750    0.38128148
   -0.66208280    0.34516641   -0.15955652    0.00069091    0.89003423   -0.42929135    0.56754432   -0.38093356
