[Header]
TITLE,20201219-Sample 4.9mg.Dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,4.9,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3817584020.58423,,1857,30.0082,30.0082,0.13347499,9.8999999E-6,30.135805,0.66678948,197.11173,0.5615,246.77996,0.2403,443.89169,0.5615,0.23770288,12.87403,0.39197284,88.500158,,,1,,,,3.5391571E-5,29.336587,908.16674,6.540782,0
3817584120.89226,,1857,30.0082,30.0082,0.14560908,9.8999999E-6,30.086663,0.61212216,197.68692,0.4854,246.11181,0.2398,443.79873,0.4854,0.45316681,13.015172,0.4123016,88.069569,,,1,,,,3.5045952E-5,25.74806,905.20731,6.5705831,0
3817584222.1724,,1857,30.0076,30.0076,0.14560908,9.8999999E-6,30.078201,0.61620106,197.8066,0.4454,246.00074,0.2397,443.80734,0.4454,0.89886325,13.070268,0.41610998,88.014711,,,1,,,,3.49051E-5,26.030343,904.69819,6.5764105,0
3817584586.14865,,1857,27.1443,27.1443,0.14560908,9.8999999E-6,27.248007,0.59982164,159.31884,0.4694,205.78787,0.1957,365.10671,0.4694,0.23306392,11.490107,0.35235749,88.401743,,,1,,,,3.2595347E-5,26.140537,742.45388,5.8469906,0
3817584678.18077,,1857,27.144,27.144,0.10920681,9.8999999E-6,27.203726,0.55204501,160.15836,0.3988,205.23986,0.1949,365.39823,0.3988,0.49330471,11.662915,0.37375527,87.92225,,,1,,,,3.2184893E-5,22.980215,740.0427,5.8873687,0
3817584770.50602,,1857,27.1447,27.1447,0.16987726,9.8999999E-6,27.198109,0.55748203,160.29096,0.3629,205.17607,0.1948,365.46703,0.3629,0.91389677,11.707466,0.377471,87.854566,,,1,,,,3.207517E-5,23.32583,739.73712,5.8934596,0
3817585096.0065,,1857,24.5536,24.5536,0.15774317,9.8999999E-6,24.637427,0.53854979,130.09788,0.3765,170.83428,0.1539,300.93217,0.3765,0.22741181,10.33784,0.32029735,88.276768,,,1,,,,2.9855994E-5,23.414932,607.00282,5.2804978,0
3817585181.85897,,1857,24.5534,24.5534,0.15774317,9.8999999E-6,24.599378,0.49805933,130.49627,0.3006,170.36797,0.1535,300.86424,0.3006,0.75824062,10.452159,0.33512494,87.902246,,,1,,,,2.955555E-5,20.67568,605.12939,5.3048607,0
3817585268.55707,,1857,24.5536,24.5536,0.15774317,9.8999999E-6,24.592993,0.50125748,130.59632,0.2797,170.295,0.1535,300.89132,0.2797,1.6738505,10.49989,0.3398688,87.796009,,,1,,,,2.9432826E-5,20.904317,604.81532,5.3103061,0
3817585559.40838,,1857,22.2099,22.2099,0.14560908,9.8999999E-6,22.275945,0.4804424,107.40532,0.3126,141.10442,0.1362,248.50974,0.3126,0.23270293,9.3361717,0.28895592,88.287925,,,1,,,,2.7299158E-5,20.99978,496.21773,4.8215831,0
